,
Local Authority,Count
Barking and Dagenham,24
Barnet,37
Bath and North East Somerset,5
Birmingham,110
"Bournemouth, Christchurch and Poole",31
Bradford,16
Brent,32
Brighton and Hove,16
"Bristol, City of",50
Bromley,13
Buckinghamshire,7
Calderdale,6
Cambridgeshire,22
Camden,73
Cheshire West and Chester,11
City of London,40
Croydon,36
Devon,6
Dorset,16
Ealing,17
East Sussex,21
Enfield,5
Essex,24
Gateshead,6
Greenwich,100
Hackney,60
Hammersmith and Fulham,30
Hampshire,24
Haringey,52
Harrow,14
Hertfordshire,35
Hillingdon,13
Hounslow,30
Islington,52
Kensington and Chelsea,32
Kent,35
Kingston upon Thames,10
Kirklees,6
Lambeth,86
Lancashire,16
Leeds,70
Leicester,6
Lewisham,34
Liverpool,53
Manchester,144
Merton,13
Milton Keynes,5
Newcastle upon Tyne,43
Newham,138
Norfolk,7
North Somerset,7
North Tyneside,6
Nottingham,22
Plymouth,11
Portsmouth,23
Reading,30
Redbridge,12
Richmond upon Thames,22
Salford,56
Sheffield,36
Slough,14
Southampton,18
Southend-on-Sea,6
Southwark,121
Suffolk,17
Sunderland,5
Surrey,22
Sutton,8
Swindon,11
Tower Hamlets,293
Wakefield,9
Waltham Forest,22
Wandsworth,86
West Sussex,13
Westminster,125
Wigan,7
Wiltshire,5
Windsor and Maidenhead,8
Wokingham,5
Worcestershire,8
,2760
